ticker,year,gross_profit_margin,ebit,return_on_sales,return_on_assets,return_on_equity,ebitda,eps,avg_revenue_growth_1_yr,debt_to_sales
WORK,2020,659226000.0,-204996000.0,-0.22711470070129958,-0.1234424949665119,-0.3503704628073535,-233814000.0,-0.53,0.4317552369682529,0.7603815601422541
FIT,2019,-579444000.0,-182977000.0,-0.12752894504275197,-0.23442312837058488,-0.658188698916191,-246021000.0,-1.25,-0.05105546821624318,0.06467645394302154
LNKD,2015,2153195000.0,726163000.0,0.24278990581799326,-0.023696945415470308,-0.037179967162290654,280466000.0,-1.29,0.34800589696890216,0.3766524647507064
ATVI,2022,3084000000.0,2666000000.0,0.35414452709883104,0.05525325932147683,0.07862599386790002,2168000000.0,1.92,-0.1448369873906623,0.4796758767268863
ARM,2023,2467000000.0,1025000000.0,0.3826054497946995,0.07631808913486746,0.12935077758578128,855000000.0,0.51,-0.008879023307436174,0.08174692049272117
