ticker,year,gross_profit_margin,ebit,return_on_sales,return_on_assets,return_on_equity,ebitda,eps
WORK,2020,659226000.0,-204996000.0,-0.22711470070129958,-0.1234424949665119,-0.3503704628073535,-233814000.0,-0.53
FIT,2019,-579444000.0,-182977000.0,-0.12752894504275197,-0.23442312837058488,-0.658188698916191,-246021000.0,-1.25
MBLY,2023,15000000.0,993000000.0,0.47763347763347763,-0.0016993957703927492,-0.0018091664433127848,480000000.0,-0.0335
LNKD,2015,2153195000.0,726163000.0,0.24278990581799326,-0.023696945415470308,-0.037179967162290654,280466000.0,-1.29
SUNW,2022,-19307000.0,-20579000.0,-0.12708185383024054,-0.23520927130231783,-0.44123121197428716,-24394000.0,-0.86
ATVI,2022,3084000000.0,2666000000.0,0.35414452709883104,0.05525325932147683,0.07862599386790002,2168000000.0,1.92
BRCM,2014,232000000.0,1487000000.0,0.17643569055529187,0.052281292598829285,0.07203623908960335,1095000000.0,1.11
