,year,gross_profit_margin,ebit,return_on_sales,return_on_assets,return_on_equity,ebitda,eps
BYDIY,2022,-94485752000.0,7854485000.0,0.07327882275389554,0.03259300703246617,0.07246393602451393,4937601000.0,41.0
ONTO,2023,-70950000.0,261100000.0,0.3200272593115553,0.06344359777809429,0.06977054882279943,193888000.0,2.46
COHR,2023,-1923534000.0,732102000.0,0.1418774829945156,-0.018923162659132547,-0.05202112219002873,50415000.0,-1.89
